id;inversor_id;modulo_id;qtd_max
1;1;1;9
2;2;1;15
3;3;1;18
4;4;1;23
5;5;1;24
6;6;1;30
7;7;1;10
8;8;1;11
9;9;1;18
10;10;1;21
11;11;1;29
12;12;1;33
13;13;1;36
14;14;1;43
15;15;1;54
16;16;1;54
17;17;1;60
18;18;1;61
19;19;1;72
20;20;1;87
21;21;1;80
22;22;1;109
23;23;1;109
24;24;1;120
25;25;1;127
26;26;1;145
27;27;1;156
28;28;1;160
29;29;1;218
30;30;1;218
31;31;1;236
32;32;1;240
33;33;1;170
34;34;1;363
35;35;1;400
36;36;1;720
37;37;1;10
38;38;1;14
39;39;1;18
40;40;1;20
41;41;1;27
42;42;1;33
43;43;1;43
44;44;1;54
45;45;1;72
46;46;1;72
47;47;1;80
48;48;1;80
49;49;1;80
50;50;1;80
51;51;1;80
52;52;1;160
53;53;1;272
54;54;1;363
55;55;1;363
56;56;1;840
57;57;1;72
58;58;1;181
59;59;1;272
60;60;1;32
61;61;1;40
62;62;1;46
63;63;1;54
64;64;1;60
65;65;1;68
66;66;1;30
67;67;1;18
68;68;1;27
69;69;1;36
70;70;1;9
71;71;1;10
72;72;1;15
73;73;1;18
74;74;1;20
75;75;1;30
76;76;1;32
77;77;1;46
78;78;1;46
79;79;1;54
80;80;1;61
81;81;1;61
82;82;1;68
83;83;1;77
84;84;1;77
85;85;1;92
86;86;1;92
87;87;1;123
88;88;1;154
89;89;1;181
90;90;1;185
91;91;1;218
92;92;1;231
93;93;1;256
94;94;1;309
95;95;1;340
96;96;1;386
97;97;1;720
98;98;1;18
99;99;1;21
100;100;1;27
101;101;1;36
102;102;1;40
103;103;1;54
104;104;1;54
105;105;1;68
106;106;1;81
107;107;1;136
108;1;2;9
109;2;2;15
110;3;2;18
111;4;2;22
112;5;2;24
113;6;2;30
114;7;2;10
115;8;2;10
116;9;2;17
117;10;2;20
118;11;2;28
119;12;2;30
120;13;2;35
121;14;2;42
122;15;2;53
123;16;2;53
124;17;2;57
125;18;2;60
126;19;2;71
127;20;2;85
128;21;2;76
129;22;2;107
130;23;2;107
131;24;2;114
132;25;2;125
133;26;2;142
134;27;2;153
135;28;2;152
136;29;2;214
137;30;2;214
138;31;2;232
139;32;2;228
140;33;2;170
141;34;2;357
142;35;2;380
143;36;2;696
144;37;2;10
145;38;2;14
146;39;2;17
147;40;2;20
148;41;2;26
149;42;2;33
150;43;2;42
151;44;2;53
152;45;2;71
153;46;2;71
154;47;2;76
155;48;2;76
156;49;2;76
157;50;2;76
158;51;2;76
159;52;2;152
160;53;2;267
161;54;2;357
162;55;2;357
163;56;2;812
164;57;2;71
165;58;2;178
166;59;2;267
167;60;2;32
168;61;2;40
169;62;2;45
170;63;2;53
171;64;2;58
172;65;2;66
173;66;2;30
174;67;2;17
175;68;2;26
176;69;2;35
177;70;2;8
178;71;2;10
179;72;2;15
180;73;2;18
181;74;2;20
182;75;2;30
183;76;2;30
184;77;2;45
185;78;2;45
186;79;2;53
187;80;2;60
188;81;2;60
189;82;2;66
190;83;2;75
191;84;2;75
192;85;2;91
193;86;2;91
194;87;2;121
195;88;2;151
196;89;2;178
197;90;2;182
198;91;2;214
199;92;2;227
200;93;2;240
201;94;2;303
202;95;2;333
203;96;2;379
204;97;2;696
205;98;2;17
206;99;2;21
207;100;2;26
208;101;2;35
209;102;2;40
210;103;2;53
211;104;2;53
212;105;2;66
213;106;2;80
214;107;2;133
215;1;3;9
216;2;3;15
217;3;3;18
218;4;3;22
219;5;3;24
220;6;3;30
221;7;3;10
222;8;3;11
223;9;3;18
224;10;3;21
225;11;3;28
226;12;3;33
227;13;3;36
228;14;3;43
229;15;3;54
230;16;3;54
231;17;3;60
232;18;3;61
233;19;3;72
234;20;3;86
235;21;3;80
236;22;3;108
237;23;3;108
238;24;3;118
239;25;3;126
240;26;3;144
241;27;3;154
242;28;3;160
243;29;3;216
244;30;3;216
245;31;3;234
246;32;3;240
247;33;3;170
248;34;3;360
249;35;3;396
250;36;3;720
251;37;3;10
252;38;3;13
253;39;3;17
254;40;3;20
255;41;3;25
256;42;3;30
257;43;3;41
258;44;3;51
259;45;3;68
260;46;3;36
261;47;3;76
262;48;3;76
263;49;3;76
264;50;3;76
265;51;3;76
266;52;3;152
267;53;3;258
268;54;3;344
269;55;3;344
270;56;3;784
271;57;3;68
272;58;3;172
273;59;3;258
274;60;3;32
275;61;3;40
276;62;3;45
277;63;3;54
278;64;3;59
279;65;3;67
280;66;3;30
281;67;3;18
282;68;3;27
283;69;3;36
284;70;3;8
285;71;3;10
286;72;3;15
287;73;3;18
288;74;3;20
289;75;3;30
290;76;3;32
291;77;3;45
292;78;3;45
293;79;3;54
294;80;3;61
295;81;3;61
296;82;3;67
297;83;3;76
298;84;3;76
299;85;3;91
300;86;3;91
301;87;3;122
302;88;3;153
303;89;3;180
304;90;3;183
305;91;3;216
306;92;3;229
307;93;3;256
308;94;3;306
309;95;3;336
310;96;3;382
311;97;3;720
312;98;3;18
313;99;3;21
314;100;3;27
315;101;3;36
316;102;3;40
317;103;3;54
318;104;3;54
319;105;3;67
320;106;3;81
321;107;3;135
322;1;4;8
323;2;4;14
324;3;4;17
325;4;4;21
326;5;4;23
327;6;4;29
328;7;4;10
329;8;4;12
330;9;4;18
331;10;4;21
332;11;4;24
333;12;4;24
334;13;4;36
335;14;4;43
336;15;4;42
337;16;4;54
338;17;4;42
339;18;4;61
340;19;4;72
341;20;4;87
342;21;4;84
343;22;4;84
344;23;4;109
345;24;4;84
346;25;4;127
347;26;4;126
348;27;4;156
349;28;4;168
350;29;4;218
351;30;4;218
352;31;4;236
353;32;4;252
354;33;4;190
355;34;4;336
356;35;4;336
357;36;4;768
358;37;4;10
359;38;4;13
360;39;4;17
361;40;4;20
362;41;4;25
363;42;4;33
364;43;4;41
365;44;4;51
366;45;4;68
367;46;4;40
368;47;4;84
369;48;4;84
370;49;4;84
371;50;4;84
372;51;4;84
373;52;4;168
374;53;4;256
375;54;4;341
376;55;4;341
377;56;4;854
378;57;4;68
379;58;4;170
380;59;4;256
381;60;4;30
382;61;4;38
383;62;4;43
384;63;4;51
385;64;4;56
386;65;4;64
387;66;4;29
388;67;4;17
389;68;4;25
390;69;4;34
391;70;4;8
392;71;4;10
393;72;4;14
394;73;4;17
395;74;4;21
396;75;4;29
397;76;4;30
398;77;4;43
399;78;4;43
400;79;4;51
401;80;4;58
402;81;4;58
403;82;4;64
404;83;4;72
405;84;4;72
406;85;4;87
407;86;4;87
408;87;4;116
409;88;4;145
410;89;4;170
411;90;4;174
412;91;4;205
413;92;4;217
414;93;4;256
415;94;4;290
416;95;4;319
417;96;4;363
418;97;4;726
419;98;4;17
420;99;4;20
421;100;4;25
422;101;4;34
423;102;4;38
424;103;4;51
425;104;4;51
426;105;4;64
427;106;4;76
428;107;4;128
429;1;5;9
430;2;5;15
431;3;5;18
432;4;5;23
433;5;5;24
434;6;5;30
435;7;5;10
436;8;5;12
437;9;5;18
438;10;5;21
439;11;5;24
440;12;5;24
441;13;5;36
442;14;5;43
443;15;5;42
444;16;5;54
445;17;5;42
446;18;5;61
447;19;5;72
448;20;5;87
449;21;5;84
450;22;5;84
451;23;5;109
452;24;5;84
453;25;5;127
454;26;5;126
455;27;5;156
456;28;5;168
457;29;5;218
458;30;5;218
